"Rolle";"Typ";"Pfad";"C";"R";"U";"D";"DN"
"Agent User";"Resource";"/auth";"x";;;;
"Agent User";"Resource";"/session";"x";"x";"x";"x";
"Agent User";"Resource";"/system";;"x";;;
"Agent User";"Resource";"/system/*";;;;;
"Agent User";"Resource";"/system/users";;"x";;;
"Agent User";"Resource";"/system/config";;"x";;;
"Agent User";"Resource";"/system/objectdefinitions";;"x";;;
"Agent User";"Resource";"/system/valid";;"x";;;
"Agent User";"Resource";"/system/objecticons";;"x";;;
"Agent User";"Resource";"/system/generalcatalog";;"x";;;
"Agent User";"Resource";"/system/communication";;"x";;;
"Agent User";"Resource";"/system/communication/*";;;;;
"Agent User";"Resource";"/system/communication/notifications";;"x";;;
"Agent User";"Resource";"/system/dynamicfields";;"x";;;
"Agent User";"Resource";"/watchers";"x";"x";"x";"x";
"Agent User";"Resource";"/i18n";;"x";;;
"Agent User";"Object";"/system/config/*{SysConfigOption.AccessLevel EQ confidential}";;;;;
"Agent User";"Object";"/system/config/definitions/*{SysConfigOptionDefinition.AccessLevel EQ confidential}";;;;;
"Ticket Reader";"Resource";"/tickets";;"x";;;
"Ticket Reader";"Resource";"/tickets/*/articles/*/flags";"x";"x";"x";"x";
"Ticket Reader";"Resource";"/system/ticket/*";;;;;
"Ticket Reader";"Resource";"/system/ticket";;"x";;;
"Ticket Reader";"Resource";"/system/ticket/locks";;"x";;;
"Ticket Reader";"Resource";"/system/ticket/priorities";;"x";;;
"Ticket Reader";"Resource";"/system/ticket/queues";;"x";;;
"Ticket Reader";"Resource";"/system/ticket/states";;"x";;;
"Ticket Reader";"Resource";"/system/ticket/types";;"x";;;
"Ticket Reader";"Resource";"/system/communication";;"x";;;
"Ticket Reader";"Resource";"/system/communication/*";;;;;
"Ticket Reader";"Resource";"/system/communication/channels";;"x";;;
"Ticket Reader";"Resource";"/system/communication/sendertypes";;"x";;;
"Ticket Reader";"Resource";"/system/communication/systemaddresses";;"x";;;
"Ticket Reader";"Resource";"/links";;"x";;;
"Ticket Reader";"Resource";"/reporting";;"x";;;
"Ticket Reader";"Resource";"/reporting/reports";;"x";;;
"Ticket Reader";"Object";"/reporting/reports/*{Report.DefinitionID !IN [3,4,5,6,7,8]}";;;;;
"Ticket Reader";"Resource";"/reporting/reportdefinitions";;"x";;;
"Ticket Reader";"Resource";"/reporting/reportdefinitions/*";;;;;
"Ticket Reader";"Resource";"/reporting/reportdefinitions/3";;"x";;;
"Ticket Reader";"Resource";"/reporting/reportdefinitions/4";;"x";;;
"Ticket Reader";"Resource";"/reporting/reportdefinitions/5";;"x";;;
"Ticket Reader";"Resource";"/reporting/reportdefinitions/6";;"x";;;
"Ticket Reader";"Resource";"/reporting/reportdefinitions/7";;"x";;;
"Ticket Reader";"Resource";"/reporting/reportdefinitions/8";;"x";;;
"Ticket Reader";"Resource";"/system/htmltopdf";;"x";;;
"Ticket Reader";"Resource";"/system/htmltopdf/convert";;"x";;;
"Ticket Reader";"Base::Ticket";"*";;"x";;;
"Ticket Agent";"Resource";"/tickets";"x";"x";"x";"x";
"Ticket Agent";"Resource";"/system/ticket/*";;;;;
"Ticket Agent";"Resource";"/system/ticket";;"x";;;
"Ticket Agent";"Resource";"/system/ticket/locks";;"x";;;
"Ticket Agent";"Resource";"/system/ticket/priorities";;"x";;;
"Ticket Agent";"Resource";"/system/ticket/queues";;"x";;;
"Ticket Agent";"Resource";"/system/ticket/states";;"x";;;
"Ticket Agent";"Resource";"/system/ticket/types";;"x";;;
"Ticket Agent";"Resource";"/system/communication";;"x";;;
"Ticket Agent";"Resource";"/system/communication/*";;;;;
"Ticket Agent";"Resource";"/system/communication/channels";;"x";;;
"Ticket Agent";"Resource";"/system/communication/sendertypes";;"x";;;
"Ticket Agent";"Resource";"/system/communication/systemaddresses";;"x";;;
"Ticket Agent";"Resource";"/organisations";;"x";;;
"Ticket Agent";"Resource";"/contacts";;"x";;;
"Ticket Agent";"Resource";"/links";"x";"x";"x";"x";
"Ticket Agent";"Resource";"/system/textmodules";;"x";;;
"Ticket Agent";"Resource";"/reporting";;"x";;;
"Ticket Agent";"Resource";"/reporting/reports";;"x";;;
"Ticket Agent";"Object";"/reporting/reports/*{Report.DefinitionID !IN [3,4,5,6,7,8]}";;;;;
"Ticket Agent";"Resource";"/reporting/reportdefinitions";;"x";;;
"Ticket Agent";"Resource";"/reporting/reportdefinitions/*";;;;;
"Ticket Agent";"Resource";"/reporting/reportdefinitions/3";;"x";;;
"Ticket Agent";"Resource";"/reporting/reportdefinitions/4";;"x";;;
"Ticket Agent";"Resource";"/reporting/reportdefinitions/5";;"x";;;
"Ticket Agent";"Resource";"/reporting/reportdefinitions/6";;"x";;;
